告警定义号,告警名称,告警层级,告警层级数字
1586,OMS_MID_ILS,,
1696,TCM4_BEI_ES_LIMIT,ODUk,2
62018,BATTERY_MISSING,,
2334,QueueOverflow,,
2855,ANMS Operation Log Dumper over,,
167,E2EL,,
3078,BIAS_HIGH_ALARM_TW,,
1371,MIS_CON,,
60063,EFM_LOS,,
3386,STRIKE,,
375,SLOS,,
3054,LINK_UNLOCK_ALARM,,
204,OOL2G5,,
882,GROUP_MS_SD,,
1252,SecondClockLoss,,
60090,SSF,OCH,4
2059,PTP_TEST,,
941,DCCCUTTHROUGH,,
1611,M_BADDRDIF,,
3321,OPUK_VCAT_SQM,,
62019,REPEAT_ALARM,,
1229,1:N_SWR,,
854,.MS_EXC.,,
1824,PWRUNINSERT,,
1420,OTS_ILS,,
2722,FLOW_TH,,
1526,TCM1_TIM,ODUk,2
62068,Battery temperature sensor breakdown,,
996,AGGR_OPM_LOW,,
2509,PROTECT_VOICE_SERVICE_ONLY,,
2090,3.3V,,
60027,ICALM,,
950,PRILOS.,,
1599,RECOG_ERR,,
1834,AGGR2_TO_AGGR1,,
275,PROTECT_WR,,
1262,RING,,
60142,VCS has faulted,,
3035,BATTERY_2TEMPRATURE_OVER_THRESHOLD_ALARM,,
1346,IOP_HIGH.,,
2526,SUF,,
1619,M_BCROSDIF,,
2149,WAN1_LOS,,
1113,BRIDGE_EAST,,
1303,DGE_OLS,,
2341,StatisticsAlarm,,
2635,DOWN_RX_MULTICAST_FRAMES_OVER_THRESHOLD_WARNING,,
872,GROUP_RS_TIM,,
606,K1K2_MISMATCH,,
61036,EMSALARM_ONUMAX_THRESHOLD,,
2455,ONU/BTU_AUTO_CONFIG_FAILED,,
2850,MODULE_POWER_LIMIT,,
2849,MODULE_COMM_FAIL,,
60117,OPTMODULE_NOT_PRESENT,,
1711,TCM3_BEI_UAS,,
400,IOP_LIMIT.,,
657,PWR_VLOW,,
1659,SM_BIP8_SD,OTU,3
229,PRILOS,,
930,LTIE4-2,,
929,LTIE4-1,,
1738,CASETEMP_HIGH,OTS,6
754,LINK_ERR,CLIENT,1
1025,TC_LOM,,
2045,MON10,,
825,LTIW2,,
350,LP_RDI_C,,
1088,LTIW3,,
2048,MON13,,
807,LTIW1,,
2049,MON14,,
2046,MON11,,
80,SWR,ODUk,2
2047,MON12,,
81,SWT,,
546,V52IDERR,,
2050,MON15,,
2051,MON16,,
3453,DC VOLT OVER,,
335,LP_RDI_S,,
2568,ATUC_ES_OVER_THRESHOLD,,
1270,LOOP_T2,,
1269,LOOP_T1,,
1705,TCM5_BEI_SES_LIMIT,ODUk,2
520,V5PSTNAT,,
2269,WARM_START,,
3077,TX_POWER_LOW_ALARM_TW,,
1624,OTS1_RS232_COMM,,
1774,VP_UNP,,
1924,APS_MISMATCH,ODUk,2
4,PPI_AIS,,
1797,VP_UNM,,
2031,MOOP_HIGH,,
60056,OPU1_JC_MISMATCH,,
499,LOS_F,,
1,SPI_LOS,,
685,IOP_ALM,,
2677,Alarm History Dumper over,,
3085,MGC Disconnected,,
1459,CON_FAIL,,
3427,ENV_TEMP1 UNDER,,
3361,UNKNOWN_UCAST_LIMIT,,
3392,HEAT_EX1 OUTDOOR FAN,,
2109,BMU_ALM,,
857,LP_SD,,
1817,DZB_IN,,
66,HP_BE,,
2721,SHUT_DOWN_48V,,
191,BRIDGE,OCH,4
598,TX_DEFF,,
645,CLIENT_ES_LIMIT,,
1310,DGE_CH_IOP_LOW,,
62051,HEATEX_INFAN_FAULT,,
62110,BETWEEN_CARDS_DOWN_CRC_ OVER_THRESHOLD,,
2480,FIRE_ALM,,
62116,Dying gasp dsl,,
731,PWFALM.,,
1005,AGGR_EOL,,
1353,LP_EXC,,
331,REFA_LOS,,
3020,UNEXPECT_MEP_ID11,,
3019,UNEXPECT_MEP_ID10,,
1715,PM_AIS,ODUk,2
384,D_MUX_LOL,,
351,E13_FAIL,,
1555,TCM5_LTC,ODUk,2
2087,1.2_2V,,
2848,MODULE_RESTRICTIONS,,
3323,TCM2_EXC,,
3425,ENV_TEMP1 OVER,,
62078,USER_LOGIN_FAIL,,
2633,UP_MULTICAST_FRAMES_OVER_THRESHOLD_WARNING,,
2100,CHIP1_FAIL,,
1055,LTITW3-2,,
1054,LTITW3-1,,
1925,TMP_SD.,,
764,PWRB_VCCALM,,
2086,1.2_1V,,
3349,RX_SW_FAIL,,
35,LP_FERF,,
60044,ODU0_OOF,ODUk,2
2418,155_OPTICAL_AIS,,
594,RX_ERR,CLIENT,1
62058,AC_FAIL,,
60041,ODU0_OOM,,
2262,DOWN-UP,,
602,FEC_LOF,,
3374,CFG_EXC_WARN,,
1767,VP_LOC,,
349,MS_PJE,,
3314,LOS_P,OCH,4
1523,PM_SD,,
2107,CHIP2_TEMP,,
1423,OTS_IOP_LOW,,
1079,LTITE7-2,,
379,TGU_ABNL,,
947,W_ILS,,
911,HP_DEG,,
1078,LTITE7-1,,
1872,PUMP_HIGH,,
61031,MPLS-TP False remote fault indication,,
129,TEMP_DOWN,,
946,E_ILS,,
2088,1.2_3V,,
1926,TMP_SF.,,
1991,FAR_LOOP_ALM,ODUk,2
1622,LOOP_F.,,
60134,HD_OVER_THRESHOLD,,
1266,BW_LIMIT,,
957,CLIENT_OPM_HIGH,,
958,OTN_IOP_HIGH,,
1874,LTIE1_LOS,,
916,MS_BBE_LIMIT,,
1430,ROSW_P_W,,
1763,OMS_BDI_O,OTS,6
1764,OMS_BDI_P,OTS,6
62022,HFA Output Power Alarm,,
646,CLIENT_SES_LIMIT,,
2060,GFP_OOF,,
1743,W_TO_P,OTS,6
1553,TCM5_BEI_SD,ODUk,2
2643,DOWN_FRAMES_DROPPED_OVER_THRESHOLD_WARNING,,
60122,MAC Status Error,,
2150,WAN1_LCD,,
849,OSW2_FAIL,,
1703,TCM3_BEI_SES_LIMIT,ODUk,2
2582,CARD_NOT_PRESENT,,
3446,HEAT_EX2 VOLT UNDER,,
2578,CUR_ALARM_NUM_OVER_THRESHOLD,,
1647,TCM1_LCK,ODUk,2
630,OTN_SDH_SD,,
1849,TRIB_PM_C_SD,,
629,OTN_SDH_TIU,,
1744,P_TO_W,OTS,6
605,SPI_SD,,
1333,DGE_COMM,,
1717,RP_LASER_OFF,,
459,BREAK_L,,
2345,E1_CRC_ERROR,,
1148,AGGR_FEC_LOF,,
1304,DGE_CH_OLS,,
1701,TCM1_BEI_SES_LIMIT,ODUk,2
1320,OTS2_CH_IOP_HIGH,,
2425,CONFIG_HAVENOT_SAVED,,
656,BIAS_UNSTB,,
2471,ENV_TEMP_DOWN,,
2490,RECVOLOVER,,
3339,RX_FORCE_PROTECT,,
1845,AGGR_OPU2_RS_SD,,
616,OTN_SDH_TIM,,
1469,TRIB_LINK_ERR,,
168,E2WL,,
63,HP_LOM,,
658,TCT_CT,,
353,HP_LOP,,
149,TAPSCW1,,
150,TAPSCW2,,
2604,VCC_HIGH_WARNING,,
98,OSC_EXBER,,
689,MS_LOCK_WORK,,
2857,OMS_BDI,,
1621,M_BDCCSFDIF,,
287,ERR_HW,,
60047,OPU2_25TS_JCM,,
2624,SOFTWARE_MISMATCH,,
1615,M_BAREADIF,,
1625,OTS2_RS232_COMM,,
742,CLIENT_LDOFF,,
60026,CLOCKALM,,
1681,TCM5_BIP8_SES_LIMIT,ODUk,2
2133,PORT_LOF,,
1189,FF_LOS,,
2769,OSPF_NBR_STATE_CHANGE,,
3052,RAU_RSL_HIGH_ALARM,,
2599,RX_POWER_LOW_WARNING,,
1209,RING_RX_USZ_BLIMIT,,
2737,LVDS2_ALM,,
280,ERR_TMP,,
992,POWERALM3V3,,
3437,HEAT_EX1_TEMP UNDER,,
2533,NO_OPTICS_SIGNAL(UPLINK_OPORT),,
3454,DC VOLT UNDER,,
3456,LOAD VOLT UNDER,,
118,MS_EXBER,,
644,OTN_EOL,,
455,TIM,,
1456,OVER_SHOOT_LIMTI,,
969,CH3_TSW,,
61011,PDH physical interface failure,,
177,WRAIS,,
2620,UP_SPEED_OVER_THRESHOLD_WARNING,,
1687,TCM3_BIP8_UAS,,
3376,LINK_LOS,,
1264,WAN_ELOOP,,
1511,OTU2_AIS,OTU,3
2403,PumpAlarm,,
3347,RX_P_TO_W,,
1928,TMS_SD.,,
2273,SLOT_LOS,,
1733,RP_HIGH,,
3351,LAG_DOWN,,
1551,TCM5_BDI,ODUk,2
609,MAIN_SUB,,
719,.RS_SD.,,
2679,24 hours Performance History Dumper over,,
2649,DOWN_COLLISIONS_OVER_THRESHOLD_WARNING,,
1666,TCM6_BIP8_SD,ODUk,2
936,LTIW8-2,,
935,LTIW8-1,,
2125,AIF_LIGHTNING_FAIL,,
3344,TX_MANUAL_CONTROL,,
2407,To Accuse,,
1739,COMMUN_FAIL,OTS,6
1887,LP_UAS_LIMIT,,
2484,BFUSEBRK,,
2036,ODU0_OCI,ODUk,2
508,V5PROTDLEST,,
2675,Database Unreachable,,
62028,HFA Pump3 Current Alarm,,
2332,eponPdsFer,,
567,RING4_SWR,,
2324,ATUR_UPRATE_UNDER_THRESHOLD,,
1929,TMS_SF.,,
596,LATE_COL,,
1255,TLS,,
62036,Power Supply Los Alarm,,
1559,TCM6_BEI_SD,ODUk,2
269,ELOS,,
2043,MANHOLE_ALM,,
2771,MPLS_LDP_SESSION_DOWN,,
1117,E1_LINKAIS,,
1211,RING_HECERR_BLIMIT,,
60138,Heartbeat is down,,
2450,MGC_DISCONNECTED,,
2603,BIAS_LOW_WARNING,,
2171,LOS15,,
2172,LOS16,,
314,SXAUALM,,
2173,LOS17,,
2174,LOS18,,
2167,LOS11,,
2168,LOS12,,
2169,LOS13,,
2115,LOC_FAULT,CLIENT,1
2170,LOS14,,
1907,REF_SWITCH,,
3364,WRITE_CFG_FILE_FAIL,,
62004,LINK_LOSS_TW,,
62077,USER_LOCK,,
2175,LOS19,,
60018,ROSW_FORCE_PROTECT,,
2504,ONU_REPLACE_MISMATCH,,
3435,HEAT_EX1_TEMP OVER,,
1003,AGGR_RS_UAS,,
2701,BATTERY_HUM_DOWN,,
2182,LOS26,,
2183,LOS27,,
2184,LOS28,,
2178,LOS22,,
2594,BIAS_HIGH_ALARM,,
2,PPI_TF,,
2179,LOS23,,
62054,HEATEX_OUTTRAN_FAULT,,
2180,LOS24,,
2181,LOS25,,
93,RS_TIU,,
975,LR_ALM,,
2715,UP_BROADCAST_SPEED_OVER_THRESHOLD,,
61017,Low-order path remote defect indication,,
2662,FLOW_RATE_OVER_THRESHOLD,,
1669,TCM1_BIP8_ES_LIMIT,,
3334,AU_NPJE_LIMIT,,
60007,M_BMCCIRDIF,,
30,FIBER_REF,,
999,AGGR_RS_LOF,,
709,TEC_CT.,,
702,LOOP_8M,,
2176,LOS20,,
2177,LOS21,,
1253,SkyLineRxErr,,
2637,UP_BROARDCAST_FRAMES_OVER_THRESHOLD_WARNING,,
60013,FANALAM,,
1537,TCM2_LTC,ODUk,2
95,OSC_LOF,,
2573,ATUR_UAS_OVER_THRESHOLD,,
2538,UPLINKCARD_INVERSION,,
62115,Critical Event,,
94,OSC_LOS,,
263,LIS_34M,,
1210,RING_HECERR_PLIMIT,,
1778,FORCE_SWITCH,ODUk,2
964,CH2_RSW,,
1655,TCM3_OCI,ODUk,2
60016,ROSW_FORCE_MAIN,,
394,RB_BREAK,,
2735,TCM5_SSF,ODUk,2
1116,SHDSL_POWERLOS,,
2876,DYING_GASP,,
2595,BIAS_LOW_ALARM,,
1378,OTS3_ILS,,
396,SMOG,,
1165,PHY_ROVF,,
1208,RING_RX_USZ_PLIMIT,,
2453,ALARM_NUM_OVER_THRESHOLD,,
831,LTIE1_HDB3.,,
1268,REF_CHANGE,,
2304,Atuc_RateChange,,
60112,OPT_LINK_CHANGE,,
1012,CH_ILOS,,
2672,softswitch Unreachable,,
412,ERRNUA,,
1944,M_SSTRURDIF,,
2669,ILLEGAL_CNU_REGISTE,,
2322,Atur_RateChange,,
2674,group Unreachable,,
691,CLKIN_LOS,,
231,T_INP,,
2136,LCD,,
62027,HFA Pump2 Temperature Alarm,,
1161,NO_HPIF,,
60126,LCK,,
60032,OTU1_OOF,,
60029,OTU1_OOM,,
2393,DS_NET_2_LOSS_THRESH,,
2191,LOS37,,
2192,LOS38,,
2461,OPTMODULE_BIAS_OVER,,
2187,LOS33,,
2188,LOS34,,
2189,LOS35,,
2190,LOS36,,
1973,TEMP_HIGH.,,
1285,PRILOS_E,,
62031,OLP R2 Input Power Alarm,,
3063,LINK1_BER_ALARM,,
92,RS_TIM,ODUk,2
2420,ResumeFiber,,
2508,BATTERY_VOLTAGE_TOO_LOW,,
60089,CSF,,
651,OS_LOS,,
2185,LOS31,,
2186,LOS32,,
902,TRIB_MS_UAS,,
1286,PRILOS_W,,
1337,HOLDOVER,,
2434,NO_OPTICS_SIGNAL(OLD),,
388,EAST_P,,
62005,DYING_GASP_TW,,
1801,VP_LCK,,
3350,TX_SW_FAIL,,
2368,LFA,,
571,RING8_SWR,,
3371,M_BPROTOCOLDIF,,
2755,CPU_USE_PER_OVER,,
1758,T_LIMIT,,
2626,UP_TOTAL_FRAME_OVER_THRESHOLD,,
1103,RPJEN_LIMIT,,
2022,CARD_CLEAR_SWTCH,,
60141,Health of cluster resource declined,,
1871,PUMP_LOW,,
235,COMM_FAIL,,
683,CFSW,,
2866,OTS_PMI,OTS,6
347,OCVOF,,
1365,BOARD_ERR,,
79,CUT,,
1847,AGGR_SM_C_SD,,
884,TRIB_LDTCT,,
641,OTN_ES_LIMIT,,
926,LTIE3-1,,
1149,AGGR_FEC_D_SD,,
1243,.AIS,,
413,OATEMP,,
2618,DOWN_SPEED_OVER_THRESHOLD_WARNING,,
3441,AIR_CON1_TEMP UNDER,,
960,OTN_OPM_HIGH,,
3377,PK_LOS,CLIENT,1
2653,DOWN_OVER_SIZE_FRAMES_OVER_THRESHOLD_WARNING,,
973,UNLOCK,,
60077,OTU_LOM,OTU,3
60088,OTU_LOF,OTU,3
2601,TX_POWER_LOW_WARNING,,
2553,UNEXPECT_LEVEL,,
3022,UNEXPECT_PERIOD3,,
3021,UNEXPECT_PERIOD2,,
2056,PTP_ALM,,
2811,SFP_NOT_EXIST,,
3024,UNEXPECT_PERIOD5,,
1527,TCM1_BDI,ODUk,2
3023,UNEXPECT_PERIOD4,,
1047,TRIB_LDCCT,,
773,OSC_8M_LOS,,
1716,FP_LASER_OFF,,
3026,UNEXPECT_PERIOD7,,
3025,UNEXPECT_PERIOD6,,
3028,UNEXPECT_PERIOD9,,
3027,UNEXPECT_PERIOD8,,
2482,DCVOLFAIL,,
60080,ODU_AIS,ODUk,2
1144,LIF,,
1818,CRC_ERR.,,
1330,OTS2_FPL,,
703,LOOP_2M,,
62003,Dev_Status,,
2343,LIS,,
2641,UP_FRAMES_DROPPED_OVER_THRESHOLD_WARNING,,
399,TR_LTC,,
2277,SNMP_TRAP_AUTHFAIL,,
2424,PEER_INSERT,,
2274,TRAP_LDU_IS_UPGRADING_NOW,,
196,OPTIP,,
2410,FAN_ERROR,,
62098,PTP_OUTPUT_MODUAL_FAULT,,
2713,BER_ALARM,,
1087,HP_UAS_LIMIT,,
1221,BOARD_LOCK_MAIN,,
1361,V35_ALM,,
60118,Loopback detected on OLT,,
100,OSC_ESLIMIT,,
2040,PATTERN_LOSS,,
1610,OCH_CHANGE,,
2879,UNCORR_MEM_ECC_ERR,,
2837,VPNFRR_MANUAL_SWITCH,,
83,DALM,,
2596,VCC_HIGH_ALARM,,
60121,RECTIFIER_FAN_FAIL,,
60046,OPU2_25TS_MISMATCH,,
2465,LINECARD_SWITCH,,
61023,Instructions from OTU2 alarm,,
62017,ALL_ONU_DYING-GASP,,
252,CH_IN_OLOS,,
1381,OTS4_CH_ILS,,
3369,EVOA_TRACE_STATE,OTS,6
899,GROUP_MS_ES_LIMIT,,
686,OPM_ALM,,
3081,VCC_LOW_ALARM_TW,,
2118,GFP_FDI,ODUk,2
391,MLFA,,
949,OSWST_E,,
2493,FANFAIL,,
61037,EMSALARM_OLTMAX_THRESHOLD,,
2015,MCCDISABLE,,
2673,presence Unreachable,,
1218,PATH_SWTR,,
1263,WAN_ILOOP,,
864,GROUP_CLS,,
1980,ETH_LB_LOS,,
948,OSWST_W,,
2076,ODU4_OCI,ODUk,2
2625,UP_TOTAL_FRAME_OVER_THRESHOLD_WARNING,,
60002,PM_THRESHOLD_CRITICAL,,
2880,CORR_MEM_ECC_ERR,,
1411,LOM_LOS,,
730,.IOP_LIMIT,,
1498,COMM,,
1684,PM_BIP8_UAS,,
1819,CARD_ABSENT,OTS,6
1712,TCM4_BEI_UAS,,
417,CODE_SW,,
1461,MODULE_TEMP,,
297,RB_LOS,,
3372,MODULE_CFG_FAIL,,
2261,UP-DOWN,,
673,BDCVLDOWN,,
1080,LTITE8-1,,
1081,LTITE8-2,,
2527,LOA,,
61018,The loss of low-level channel pointer,,
1751,LOC,,
360,LOF,,
2143,LOL,,
1509,LOM,,
2142,LOP,,
1383,OTS4_IOP_LOW,,
60116,License Rrc Alarm,,
2132,LOS,,
744,LR_ILS,,
3398,HEAT_EX1 CTROL,,
2447,AUTO_UPGRADE_ONU_SUCCESS,,
1363,HDB3_CV,,
3067,LINK5_BER_ALARM,,
31,UAS,,
62056,Battery discharge threshold alarm,,
897,GROUP_RS_UAS,,
1147,LP_SES_LIMIT,,
1691,SM_BEI_ES_LIMIT,OTU,3
3457,BAT_RECHARGE_CURR OVER,,
2743,M_BPROGROUPDIF,,
1462,POWER_UINIT_FAIL,,
2135,LPR,,
777,OSC_2M1_LOS,,
2469,SYSMINALM,,
2081,SCCDISABLE,,
2452,OPTICAL_POWER_LOW,,
870,GROUP_RS_LOF,,
56,V52CO_LC_L3ERR,,
2816,MAIN_SUB_APS_MISMATCH,,
974,LTIE1(ANY),,
1200,SPI42_LOOPH,,
2870,PTP_LOS_DELAY_RESP_PACKET,,
61038,SERVER_STOP_ALARM_NOTIFY,,
1199,SPI42_LOOPL,,
1665,TCM5_BIP8_SD,ODUk,2
1418,OTN_EOL.,,
2406,LRF,,
1314,OTS1_CH_IOP_LOW,,
47,LTIE2_HDB3,,
3422,RECITIF MODULE_OFF,,
2123,RING_MISMATCH,,
1560,TCM6_LINK_REQUEST,,
2014,FORCE_CARD_SWITCH,,
1123,E1_ERR,,
62071,Battery Cell temperature over,,
2727,PDELAY_REQ_RX_TIMEOUT,,
2708,XG_OPTMODULE_TXPOWER_OVER_WARNING,,
2851,MODULE_NO_FLOW_EQUAL,,
2317,BCTFAIL,,
1898,TRIB_SM_TIM,,
3346,TX_W_TO_P,,
62118,Ont link loss status lamp alarm,,
3375,POWERALM,,
60,HP_TIM,,
2731,TCM1_SSF,ODUk,2
2764,PRBS_INSERT,,
61,HP_TIU,,
3070,LINK7_BER_ALARM,,
1277,LTI,,
62111,webservice cmd Log Dumper over,,
28,RTM_T,,
197,OPTOP,,
1429,TOSW_W_P,,
954,TRAF_ONLOAD,,
1036,OTN_GE_SD,,
3343,RX_MANUAL_CONTROL,,
746,LR_IOP,,
2766,ETH_OAM_CONNECT_FAULT,,
60023,TOSW_LOCK_PROTECT,,
2551,User_defined_alarm14,,
3399,HEAT_EX2 CTROL,,
344,C_MUX_LOL,,
2550,User_defined_alarm13,,
203,OOL38M,,
1791,VS_AIS,,
2549,User_defined_alarm12,,
1470,OPT_LOS,,
2548,User_defined_alarm11,,
2547,User_defined_alarm10,,
2335,MacLearningTableOverflow,,
159,TAPSCE1,,
3071,OPTMODULE_TEMP_OVER_TW,,
60024,ROSW_MANUAL_CONTROL,,
160,TAPSCE2,,
721,LDTALM.,,
1056,LTITW4-1,,
137,FPLL,,
1057,LTITW4-2,,
2762,REMOTE_NOT_MATCH,,
759,SETOSC_FERF,,
1590,GFP_EXM,,
1931,WRAP_LOCK_PROTECT,,
60019,TOSW_FORCE_PROTECT,,
2661,DETECTION_OF_DOS_ATTACK,,
1220,RX_SFI5_SKEW,,
3444,HEAT_EX2 VOLT OVER,,
1833,AGGR1_TO_AGGR2,,
342,AU_AIS_T,,
1749,GE_ILOOP,,
2395,DS_NET_2_ERR_THRESH,,
2842,M_BAREAKEYDIF_N,,
74,ES_LIMIT,,
2270,SLOT_INIT_FAILURE,,
246,OSWST,,
2392,US_CLIENT_2_LOSS_THRESH,,
915,RS_BBE_LIMIT,,
2362,HUMID_OVER(MSAN),,
2066,IP_RDI,,
3383,WATER,,
62091,PTP_CONF_MISMATCH,,
1897,TRIB_PM_TIM,,
2004,M_BAREADIF_N,,
1582,OSW_MODE_T,,
887,GROUP_MS_AIS,,
1581,OSW_MODE_R,,
315,OSWTR,,
1292,ALL_BCAST,,
2665,UP_UNDER_SIZE_FRAME_OVER_THRESHOLD,,
62105,PDELAY_RESP_RX_TIMEOUT,,
2280,ATUC_PERF_LPRS_THRESH_TRAP,,
3426,ENV_TEMP2 OVER,,
662,OSC_OLS,,
2474,DCVOLOVER,,
2122,LSP_MISMATCH,,
260,LFA_E,,
912,RS_DEG,,
1569,OCH_ILS_P,,
3043,OPTLOSS_HIGH_ALARM,,
1568,OCH_ILS_W,,
775,OSC_8M_AIS,,
361,LOOPL_L,,
3428,ENV_TEMP2 UNDER,,
27,LFA_T,,
1273,LFA_R,,
240,LFA_O,,
1127,LIS1,,
2390,US_CLIENT_2_CRC_THRESH,,
1130,LIS4,,
1129,LIS3,,
1128,LIS2,,
2797,EACL_EXC,,
1060,LTITW6-1,,
2460,OPTMODULE_VOL_OVER,,
1061,LTITW6-2,,
1832,ETH_LCK,,
2717,DROPPED_SPEED_OVER_THRESHOLD,,
2358,DCV_OVER,,
1440,OTN_SW_FAIL,,
